,5,4,3,2,1,score
Boku no Hero Academia 4th Season,304,157,58,14,18,4.297640653357532
Sword Art Online: Alicization - War of Underworld,253,63,24,28,24,4.25765306122449
Nanatsu no Taizai: Kamigami no Gekirin,87,55,44,25,27,3.630252100840336
Shokugeki no Souma: Shin no Sara,99,33,15,8,13,4.1726190476190474
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,203,66,26,23,22,4.1911764705882355
Ore wo Suki nano wa Omae dake ka yo,178,68,24,17,16,4.237623762376238
Psycho-Pass 3,207,38,11,2,4,4.687022900763359
Assassins Pride,46,36,23,10,4,3.9243697478991595
No Guns Life,52,48,18,16,6,3.8857142857142857
Fate/Grand Order: Zettai Majuu Sensen Babylonia,237,29,8,3,7,4.711267605633803
Beastars,269,27,27,14,21,4.421787709497207
Kabukichou Sherlock,15,17,12,8,4,3.5535714285714284
Chihayafuru 3,111,21,14,6,6,4.424050632911392
"Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!",36,23,3,1,4,4.2835820895522385
Val x Love,10,11,5,3,4,3.606060606060606
Fairy Gone 2nd Season,38,8,4,1,1,4.5576923076923075
Houkago Saikoro Club,25,14,11,7,2,3.8983050847457625
Chuubyou Gekihatsu Boy,25,8,5,4,2,4.136363636363637
XL Joushi.,1,2,0,0,1,3.5
Phantasy Star Online 2: Episode Oracle,7,4,0,0,0,4.636363636363637
Z/X: Code Reunion,3,2,4,1,1,3.4545454545454546
Mugen no Juunin: Immortal,50,18,9,0,1,4.487179487179487
Kengan Ashura 2nd Season,2,0,0,0,2,3.0
Sora no Method: Mou Hitotsu no Negai,7,4,1,0,1,4.230769230769231
Nanatsu no Taizai: Kamigami no Gekirin,87,55,44,25,27,3.630252100840336
Shokugeki no Souma: Shin no Sara,99,33,15,8,13,4.1726190476190474
Fate/Grand Order: Zettai Majuu Sensen Babylonia,237,29,8,3,7,4.711267605633803
Beastars,269,27,27,14,21,4.421787709497207
Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,24,11,28,9,9,3.3950617283950617
Babylon,62,14,4,1,1,4.646341463414634
Kabukichou Sherlock,15,17,12,8,4,3.5535714285714284
Mairimashita! Iruma-kun,84,21,17,15,9,4.068493150684931
"Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!",36,23,3,1,4,4.2835820895522385
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,57,20,14,8,13,3.892857142857143
Granblue Fantasy The Animation Season 2,78,13,4,1,0,4.75
Phantasy Star Online 2: Episode Oracle,7,4,0,0,0,4.636363636363637
Shin Chuuka Ichiban!,2,4,2,0,0,4.0
Boku no Hero Academia 4th Season,321,167,59,15,21,4.289879931389366
Sword Art Online: Alicization - War of Underworld,269,75,34,36,28,4.178733031674208
Nanatsu no Taizai: Kamigami no Gekirin,48,33,30,15,13,3.633093525179856
Beastars,118,25,12,8,7,4.405882352941177
Kabukichou Sherlock,5,8,4,0,0,4.0588235294117645
Mairimashita! Iruma-kun,93,26,17,15,9,4.11875
Fairy Gone 2nd Season,44,12,6,2,2,4.424242424242424
